,tweet,prepro,label
1151,CORONA VIRUS DISEASE 2019 COVID - 19 MASIH ADA DI SEKITAR KITA @ Polsek Parang Polres Magetan https://t.co/VEM9GgKEmx,"['corona', 'virus', 'disease', 'covid', 'polsek', 'parang', 'polres', 'magetan']",negatif
807,Yungalah.... rasanya kok hidup jadi berbeda. Tuhan segera bebaskan kami dari seramnya COVID iniya Tuhan. Selamat Tahun Baru 2021,"['yungalah', 'hidup', 'beda', 'tuhan', 'bebas', 'seram', 'covid', 'iniya', 'tuhan', 'selamat']",positif
1286,"props buat yg donor plasma. gue wkt itu liat mesinnya aja ngeri, but u guys quite literally WENT THROUGH it. 

BTW JANGAN LUPA DONOR DARAH LAGI GAISSSS

covid iya tapi banyak jg yg butuh buat operasi lain2","['props', 'donor', 'plasma', 'gue', 'wkt', 'liat', 'mesin', 'ngeri', 'but', 'guys', 'quite', 'literally', 'went', 'through', 'it', 'btw', 'lupa', 'donor', 'darah', 'gaissss', 'covid', 'iya', 'jg', 'butuh', 'operasi']",positif
590,"@JoeBiden If you want to know how a used up unaware has been that doesnâ€™t know where he is half the time,insults black people, says things like 280 million people have died from Covid, WON! This is how, cheating: https://t.co/NMl2SR3PAI","['joebiden', 'if', 'you', 'want', 'to', 'know', 'how', 'a', 'used', 'up', 'unaware', 'has', 'been', 'that', 'doesn', 'know', 'where', 'he', 'is', 'half', 'the', 'time', 'insults', 'black', 'people', 'says', 'things', 'like', 'million', 'people', 'have', 'died', 'from', 'covid', 'won', 'this', 'is', 'how', 'cheating']",netral
1187,mama dari sahabatnya kakakku baru seminggu kena covid skg dikabarin udah meninggal ðŸ¥ºInnalillahi... semakin takut bgt,"['mama', 'sahabat', 'kakak', 'minggu', 'kena', 'covid', 'skg', 'dikabarin', 'udah', 'tinggal', 'innalillahi', 'takut', 'bgt']",positif
425,"Selamat Tahun Baru 2021

Tahun 2020 adalah tahun yang penuh cobaan bagi Indonesia. Semoga tahun 2021 ini menjadi tahun yang lebih baik dari sebelumnya. Do'a yang paling utama adalah wabah virus covid-19 segera lenyap dari Indonesia. Happy new year ðŸŽ‰ https://t.co/HnRnpkkv1v","['selamat', 'penuh', 'coba', 'indonesia', 'moga', 'do', 'a', 'utama', 'wabah', 'virus', 'covid', 'lenyap', 'indonesia', 'happy', 'new', 'year']",positif
170,"@nksthi @fayruzrahma Gpp.. nanti kalo ditanya riwayat perjalanan sampe kena covid dimana ... oh dimalioboro jogja... estektik sekali ya ðŸ˜ŠðŸ˜ŠðŸ˜Š

jadi standar high class kalo kena covid di warkop biasa bahkan kalah pamor sama yang kena di malioboro jogja","['nksthi', 'fayruzrahma', 'gpp', 'riwayat', 'jalan', 'sampe', 'kena', 'covid', 'mana', 'oh', 'dimalioboro', 'jogja', 'estektik', 'standar', 'high', 'class', 'kena', 'covid', 'warkop', 'kalah', 'pamor', 'kena', 'malioboro', 'jogja']",negatif
983,"Gubernur Jawa Timur Khofifah Indar Parawansa Umumkan Dirinya Terkonfirmasi Positif Covid-19 https://t.co/DQDWIwm8Mu 

#covid #jatim #gubernur #jawatimur #KhofifahIndarParawansa #prmn #Pikiranrakyatmedianetwork #KolaborasiMediapreneurNusantara #pikiranrakyat","['gubernur', 'jawa', 'timur', 'khofifah', 'indar', 'parawansa', 'umum', 'konfirmasi', 'positif', 'covid', 'covid', 'jatim', 'gubernur', 'jawatimur', 'khofifahindarparawansa', 'prmn', 'pikiranrakyatmedianetwork', 'kolaborasimediapreneurnusantara', 'pikiranrakyat']",negatif
322,"Bagi kalian yang ngeyil dan tak peduli Covid
Lihat lah .. lihat njuk diresapi hehe
https://t.co/e7ZciatDog

Thanks abii @Hanungbramantyo","['ngeyil', 'peduli', 'covid', 'lihat', 'lihat', 'njuk', 'resap', 'thanks', 'abii', 'hanungbramantyo']",netral
209,"@mirokii Covid 19 pakkk, ðŸ˜’","['mirokii', 'covid', 'pakkk']",netral
461,20210101 | Jenazah Di Covid Kan? https://t.co/zRJOp9Z8xv via @YouTube,"['jenazah', 'covid', 'via', 'youtube']",netral
140,Unduh Pedoman Perubahan Perilaku Penanganan COVID-19 dalam 77 Bahasa Daerah di https://t.co/xTsg0UP0cI https://t.co/6aD9bDxptc,"['unduh', 'pedoman', 'ubah', 'perilaku', 'tangan', 'covid', 'bahasa', 'daerah']",positif
931,"Tanpa Gejala, Gubernur Jatim Khofifah Positif Covid-19 https://t.co/wz8ufjKyvJ lewat @Expostnews.com https://t.co/zjEzhGRKJn","['gejala', 'gubernur', 'jatim', 'khofifah', 'positif', 'covid', 'expostnews', 'com']",netral
354,Idk what to do w myself lol also covid no jokeðŸ¥´,"['idk', 'what', 'to', 'do', 'w', 'myself', 'lol', 'also', 'covid', 'no', 'joke']",netral
199,Covid-19 di Indonesia dalam Refleksi 2020 dan Harapan 2021 https://t.co/HsLNaSBIF3 https://t.co/7NNL0ORVbt,"['covid', 'indonesia', 'refleksi', 'harap']",netral
554,"Terkait riset gaharu, tahun 2020 saya menerima dana riset ""World Class Research"", namun ditunda karena kendala Covid-19. Mudah-mudahan tahun ini bisa lanjut. Buat yang tertarik ingin bergabung meneliti gaharu, silakan japri.","['kait', 'riset', 'gaharu', 'terima', 'dana', 'riset', 'world', 'class', 'research', 'tunda', 'kendala', 'covid', 'mudah', 'mudah', 'tarik', 'gabung', 'teliti', 'gaharu', 'sila', 'japri']",positif
1212,"@AriestaRiico_ @silentreadeer @ganjarpranowo Mantaab Pak Ganjar biar deteksi dini covid.19 bisa murah, cepat, akurat &amp; pandemi cepat berlalu.... ðŸ‘â¤ðŸ‡²ðŸ‡¨","['ariestariico', 'silentreadeer', 'ganjarpranowo', 'mantaab', 'ganjar', 'deteksi', 'covid', 'murah', 'cepat', 'akurat', 'pandemi', 'cepat']",positif
1099,"Per Minggu (10/01), terdapat penambahan 9 pasien positif Covid-19 yang meninggal dunia:
1.Kasus  13022 :Laki laki, 59 th, Kota Yogyakarta
2.Kasus 13152 : Perempuan, 61 th, Bantul
3.Kasus 13371 : Perempuan, 59 th, Bantul
4.Kasus 13509 : Laki laki, 59 th, Kota Yogyakarta","['minggu', 'tambah', 'pasien', 'positif', 'covid', 'tinggal', 'dunia', 'laki', 'laki', 'th', 'kota', 'yogyakarta', 'perempuan', 'th', 'bantul', 'perempuan', 'th', 'bantul', 'laki', 'laki', 'th', 'kota', 'yogyakarta']",negatif
